HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_hdd0/ -> ./dev_hdd0/
LDR: ! /dev_hdd1/ -> ./dev_hdd1/
LDR: ! /dev_flash/ -> ./dev_flash/
LDR: ! /dev_usb000/ -> ./dev_usb000/
LDR: ! /dev_usb/ -> ./dev_usb000/
LDR: ! /app_home/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612/
LDR: ! /dev_bdvd/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612//../
LDR: ! /host_root/ -> 
LDR: ! /app_home/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612//USRDIR/
LDR: ! /dev_flash2/ -> ./dev_flash2/
LDR: ! /app_home/Game/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612//USRDIR/
LDR: ! //dev_hdd0/ -> ./dev_hdd0/
LDR: ! / -> D:\Emulateurs\Rpcs3\dev_hdd0\game\DOOM0066612//USRDIR/
LDR: !  
LDR: ! Title: PS3DOOM
LDR: ! Serial: DOOM00666
LDR: !  
MEM: ! Initializing memory: m_base_addr = 0xdcad240000
MEM: ! Memory initialized.
LDR: W ElfProgram different load addrs: paddr=0x00090008, vaddr=0x00000000
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module
LDR: W Unimplemented function 'sys_config_start' in 'sys_io' module
LDR: W Unimplemented function 'sys_config_stop' in 'sys_io' module
LDR: W Unimplemented function 'sys_config_add_service_listener' in 'sys_io' module
LDR: W Unimplemented function 'sys_config_remove_service_listener' in 'sys_io' module
LDR: W Unimplemented function 'sys_config_register_service' in 'sys_io' module
LDR: W Unimplemented function 'sys_config_unregister_service' in 'sys_io' module
LDR: ! Imported function 'cellPadInit' in 'sys_io' module
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module
LDR: ! Imported function 'cellPadClearBuf' in 'sys_io' module
LDR: ! Imported function 'cellPadInfoPressMode' in 'sys_io' module
LDR: W Unimplemented function 'cellPadLddRegisterController' in 'sys_io' module
LDR: ! Imported function 'cellPadGetInfo' in 'sys_io' module
LDR: W Unimplemented function 'cellPadGetRawData' in 'sys_io' module
LDR: ! Imported function 'cellPadGetDataExtra' in 'sys_io' module
LDR: ! Imported function 'cellPadInfoSensorMode' in 'sys_io' module
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module
LDR: W Unimplemented function 'cellPadLddGetPortNo' in 'sys_io' module
LDR: W Unimplemented function 'cellPadLddDataInsert' in 'sys_io' module
LDR: ! Imported function 'cellPadSetSensorMode' in 'sys_io' module
LDR: ! Imported function 'cellPadGetCapabilityInfo' in 'sys_io' module
LDR: W Unimplemented function 'cellPadLddUnregisterController' in 'sys_io' module
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module
LDR: ! Imported function 'cellPadSetPressMode' in 'sys_io' module
LDR: W Unimplemented function 'cellPadPeriphGetInfo' in 'sys_io' module
LDR: ! Imported function 'cellPadSetPortSetting' in 'sys_io' module
LDR: W Unimplemented function 'cellPadPeriphGetData' in 'sys_io' module
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module
LDR: ! Imported function 'cellMouseInit' in 'sys_io' module
LDR: ! Imported function 'cellMouseEnd' in 'sys_io' module
LDR: ! Imported function 'cellMouseClearBuf' in 'sys_io' module
LDR: ! Imported function 'cellMouseGetInfo' in 'sys_io' module
LDR: ! Imported function 'cellMouseGetTabletDataList' in 'sys_io' module
LDR: ! Imported function 'cellMouseSetTabletMode' in 'sys_io' module
LDR: ! Imported function 'cellMouseGetData' in 'sys_io' module
LDR: ! Imported function 'cellMouseInfoTabletMode' in 'sys_io' module
LDR: ! Imported function 'cellMouseGetRawData' in 'sys_io' module
LDR: ! Imported function 'cellMouseGetDataList' in 'sys_io' module
LDR: ! Imported function 'cellKbInit' in 'sys_io' module
LDR: ! Imported function 'cellKbEnd' in 'sys_io' module
LDR: ! Imported function 'cellKbRead' in 'sys_io' module
LDR: ! Imported function 'cellKbSetReadMode' in 'sys_io' module
LDR: ! Imported function 'cellKbSetCodeType' in 'sys_io' module
LDR: ! Imported function 'cellKbCnvRawCode' in 'sys_io' module
LDR: ! Imported function 'cellKbSetLEDStatus' in 'sys_io' module
LDR: ! Imported function 'cellKbGetInfo' in 'sys_io' module
LDR: ! Imported function 'cellKbGetConfiguration' in 'sys_io' module
LDR: ! Imported function 'cellKbClearBuf' in 'sys_io' module
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmDumpGraphicsError' in 'cellGcmSys' module
